Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,HE ,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,,,,,,,,,,,,,Date,2024-06-20 00:00:00,,,,Description,Revision,Prepare By,Approved By,Date,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Prepared,VM,,,,CONCEPTUAL DRAFT - NOT FOR CONSTRUCTION,A,VM,MM,2024-02-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Checked,MM,,,,ISSUED FOR 60% DESIGN REVIEW,B,VM,MM,2024-02-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Client Project Reference,,,,,ISSUED FOR 90% DESIGN REVIEW,C,VM,,2024-06-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,QCA Project Reference,8083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client Drawing Number,,,QCA Drawing Number,,,,,,,,End-User Drawing Number,,Machine Description,SHIPLOADER 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8083-041000-L-SL3-001,,,,,,,,,,Rev,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Rev,"MACHINE
MMMN","SYSTEM
SSS",N,"EQUIP
EEE",N,"DEVICE
DDD",N,m,N,"Instrument
Tag","Instrument
Type","System
[Machine System]","Machine Location
[Location 1]","Description Line 1
[Location 2]","Description Line 2
[Function]","Description Line 3
[Instrument Type]",DESCRIPTION,Junction Boxes,Destination Panel,I/O TYPE,Scope of Supply,Manufacturer,Model,FIELD,"EXTENSION
BOX",BRACKET,SUPPLY: PCL PACKAGE #,INSTALL: PCL PACKAGE #,Typical Instrument,DRAWINGS,,,,COMMENT 2024-06-26,"BLOCK DIAGRAM CHK
2024-06-26",INSTRUMENT LAYOUT INSERTED,,Cross check with customer spec (Preferred Model) GK 2024-11-15,,,External Docs,,Vendor Drawing Info
1,A,SL3,BC,,,,,,,,,,Shiploader 3,Boom Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,SL3,BC,,,,,,ES,1,SL3-BC-ES1,E-Stop PB ,Shiploader 3,Boom Conveyor,"Left Side, Tail End",Emergency Stop,Push Button,"Shiploader 3 Boom Conveyor Left Side, Tail End Emergency Stop Push Button",,,SI,QCA,SCHNEIDER/AB,9001KYG1Y/800H-FRXT6A1,,,,,,,,,Moved to BH,,Y,SL3-BC-RCP1,,,,,,,,
3,C,SL3,BC,,,,,,ES,2,SL3-BC-ES2,E-Stop PB ,Shiploader 3,Boom Conveyor,"Right Side, Tail End",Emergency Stop,Push Button,"Shiploader 3 Boom Conveyor Right Side, Tail End Emergency Stop Push Button",,,SI,QCA,SCHNEIDER/AB,9001KYG1Y/800H-FRXT6A1,,,,,,,,,Moved to BH,,Y,SL3-BC-RCP1,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,SL3,BC,,,,,,PC,1,SL3-BC-PC1,Pull Cord ,Shiploader 3,Boom Conveyor,"Left Side, Tail End",Emergency Stop,Pull Cord,"Shiploader 3 Boom Conveyor Left Side, Tail End Emergency Stop Pull Cord",,SL3-BC-RCP1,SI,QCA,Crouse Hinds,AFU0333‐66,,,,,,,,,,,Y,SL3-BC-RCP1,,,Y,,,,,
6,C,SL3,BC,,,,,,PC,2,SL3-BC-PC2,Pull Cord ,Shiploader 3,Boom Conveyor,"Right Side, Tail End",Emergency Stop,Pull Cord,"Shiploader 3 Boom Conveyor Right Side, Tail End Emergency Stop Pull Cord",,SL3-BC-RCP1,SI,QCA,Crouse Hinds,AFU0333‐66,,,,,,,,,,,Y,SL3-BC-RCP1,,,Y,,,,,
7,C,SL3,BC,,,,,,PC,3,SL3-BC-PC3,Pull Cord ,Shiploader 3,Boom Conveyor,"Left Side, Head End",Emergency Stop,Pull Cord,"Shiploader 3 Boom Conveyor Left Side, Head End Emergency Stop Pull Cord",,SL3-BC-RCP1,SI,QCA,Crouse Hinds,AFU0333‐66,,,,,,,,,,,Y,SL3-BC-RCP1,,,Y,,,,,
8,C,SL3,BC,,,,,,PC,4,SL3-BC-PC4,Pull Cord ,Shiploader 3,Boom Conveyor,"Right Side, Head End",Emergency Stop,Pull Cord,"Shiploader 3 Boom Conveyor Right Side, Head End Emergency Stop Pull Cord",,SL3-BC-RCP1,SI,QCA,Crouse Hinds,AFU0333‐66,Y,,,,,,,,,,Y,SL3-BC-RCP1,,,Y,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,C,SL3,BC,,,,,,ZLS,1,SL3-BC-ZLS1,Limit Switch ,Shiploader 3,Boom Conveyor,Left Side,Belt Rip,Switch,Shiploader 3 Boom Conveyor Left Side Belt Rip Switch,,SL3-BC-RCP1,DI,QCA,Bulk Pro,BD-3X,Y,,,,,,,,,,Y,SL3-BC-RCP1,,,NO SPEC?,,,,,
11,C,SL3,BC,,,,,,ZLS,2,SL3-BC-ZLS2,Limit Switch ,Shiploader 3,Boom Conveyor,Right Side,Belt Rip,Switch,Shiploader 3 Boom Conveyor Right Side Belt Rip Switch,,SL3-BC-RCP1,DI,QCA,Bulk Pro,BD-3X,Y,,,,,,,,,,Y,SL3-BC-RCP1,,,NO SPEC?,,,,,
12,C,SL3,BC,,,,,,YA,1,SL3-BC-YA1,Warning Horn,Shiploader 3,Boom Conveyor,Left Side,Start Warning,Horn,Shiploader 3 Boom Conveyor Left Side Start Warning Horn,,SL3-BC-RCP1,DO,QCA,Federal Signal,350WB-120,Y,,,,,,,,,,Y,SL3-BC-RCP1,,,G-STR? Horn no spec,,,,,
13,C,SL3,BC,,,,,,YL,1,SL3-BC-YL1,Warning Light,Shiploader 3,Boom Conveyor,Left Side,Start Warning,Light,Shiploader 3 Boom Conveyor Left Side Start Warning Light,,SL3-BC-RCP1,DO,QCA,Federal Signal,G-STR-120-D-R,Y,,,,,,,,,,Y,SL3-BC-RCP1,,,G-STR?,,,,,
14,C,SL3,BC,,,,,,YL,2,SL3-BC-YL2,Warning Light,Shiploader 3,Boom Conveyor,Right Side,Start Warning,Light,Shiploader 3 Boom Conveyor Right Side Start Warning Light,,SL3-BC-RCP1,DO,QCA,Federal Signal,G-STR-120-D-R,Y,,,,,,,,,,Y,SL3-BC-RCP1,,,G-STR?,,,,,
15,C,SL3,BC,,,,,,SS,1,SL3-BC-SS1,Speed Switch,Shiploader 3,Boom Conveyor,Belt,Speed,Sensor,Shiploader 3 Boom Conveyor Belt Speed Sensor,,SL3-BC-RCP1,DI,QCA,IFM,"DI602A, EVC491",Y,,,,,,,,,,Y,SL3-BC-RCP1,,,NO SPEC?,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,B,SL3,BC,,,,,,VE,1,SL3-BC-VE1,Vibration Element,Shiploader 3,Boom Conveyor Shuttle Area,Head Pulley,Vibration,Element,Shiploader 3 Boom Conveyor Shuttle Area Head Pulley Vibration Element,,,AI,VENDOR,,,,,,,,,,,,,,,,,,,,,,
18,B,SL3,BC,,,,,,VE,2,SL3-BC-VE2,Vibration Element,Shiploader 3,Boom Conveyor Shuttle Area,Takeup Pulley,Vibration,Element,Shiploader 3 Boom Conveyor Shuttle Area Takeup Pulley Vibration Element,,,AI,VENDOR,,,,,,,,,,,,,,,,,,,,,,
19,B,SL3,BC,,,,,,VE,3,SL3-BC-VE3,Vibration Element,Shiploader 3,Boom Conveyor Shuttle Area,Bend Pulley 1,Vibration,Element,Shiploader 3 Boom Conveyor Shuttle Area Bend Pulley 1 Vibration Element,,,AI,VENDOR,,,,,,,,,,,,,,,,,,,,,,
20,B,SL3,BC,,,,,,VE,4,SL3-BC-VE4,Vibration Element,Shiploader 3,Boom Conveyor Shuttle Area,Bend Pulley 2,Vibration,Element,Shiploader 3 Boom Conveyor Shuttle Area Bend Pulley 2 Vibration Element,,,AI,VENDOR,,,,,,,,,,,,,,,,,,,,,,
21,B,SL3,BC,,,,,,VE,5,SL3-BC-VE5,Vibration Element,Shiploader 3,Boom Conveyor Shuttle Area,Bend Pulley 3,Vibration,Element,Shiploader 3 Boom Conveyor Shuttle Area Bend Pulley 3 Vibration Element,,,AI,VENDOR,,,,,,,,,,,,,,,,,,,,,,
22,B,SL3,BC,,,,,,VE,6,SL3-BC-VE6,Vibration Element,Shiploader 3,Boom Conveyor Shuttle Area,Bend Pulley 4,Vibration,Element,Shiploader 3 Boom Conveyor Shuttle Area Bend Pulley 4 Vibration Element,,,AI,VENDOR,,,,,,,,,,,,,,,,,,,,,,
23,B,SL3,BC,,,,,,VE,7,SL3-BC-VE7,Vibration Element,Shiploader 3,Boom Conveyor Shuttle Area,Bend Pulley 5,Vibration,Element,Shiploader 3 Boom Conveyor Shuttle Area Bend Pulley 5 Vibration Element,,,AI,VENDOR,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,C,SL3,BC,,,,,,ZLS,3,SL3-BC-ZLS3,Limit Switch ,Shiploader 3,Boom Conveyor,"Left Side, Tail End",,Misalignment Switch,"Shiploader 3 Boom Conveyor Left Side, Tail End Misalignment Switch",,SL3-BC-RCP1,DI,QCA,Eaton,AFA20-S752,,,,,,,,,,,,SL3-MEH-ACP1,,,BELT ALIGNMENT? AFA,,,,,
