Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Date (mm/dd/yy):,2024-04-30 00:00:00,Rev.,Date (mm/dd/yy):.1,Drn.:,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Description:,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,Drawn By:,VM,A,Conceptual Design,,,,,,,SL3 PLC IO LIST,,,,,,,,,,,,,,,,,TOTAL I/O,0.0
,,,,,,Checked By:,MM,B,Issued for Review,,,,,,,,,,,,,,,,,,HIDE THE ,,,,,,SPARE I/O,0.0
,,,,,,Job No:,,,,,,,,,,,,,,,,,,,,,COLUMN ,,,,,,,
,,,,,,QCA Job No:,8083,,,,,,,,,,,,,,,,,,,,BEFORE ,,,,,,% SPARE,
,,QCA DWG. No.,,Customer DWG. No.,,Equipment,SL3,,,,PRINTING,PRINTING,PRINTING,PRINTING,PRINTING,,,,,,,,,,,,PRINTING,,,,,,,
,,8083-041000-L-SL3-001,,,,Rev.,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REV.,PLC PANEL,RACK,SLOT,CHANNEL,ADDRESS,MODULE,TYPE,SIGNAL,INSTR./EQUIP. TAG,I/O TAG,CHILD,Description 1,Description 2,Description 3,Description 4,EQUIP/INSTR. DESCRIPTION,Automation System,Wiring,Failed State Value,Units,Engineering Units Min,Engineering Units Max,Low-Low Value,Low Value,High Value,High-High Value,PLC IO Address,Automation Notes,Breaker Type,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,SL3-MEH-ACP1,00,,,,1756-A7/C,,,,,,Rack 7 slots,,,,Rack 7 slots ,,,,,,,,,,,,,,,,,,
A,SL3-MEH-ACP1,00,,,,1756-PA75,,120V,,,,Power Supply,,,,Power Supply ,,,,,,,,,,,,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,00,00,,CPU-0000,1756-L83ES,,24VDC,,,,Processor,,,,Processor ,,,,,,,,,,,,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,00,01,,SP-0001,1756-L8SP,,24VDC,,,,Safety Partner,,,,Safety Partner ,,,,,,,,,,,,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,00,02,,EN2T_0002,1756-EN2T,,24VDC,,,,Communication,,,,Communication ,,,,,,,,,,,,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,00,03,,EN2T_0003,1756-EN2T,,24VDC,,,,Communication,,,,Communication ,,,,,,,,,,,,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,00,04,,,,,,,,,--,Network Module Only,,,-- Network Module Only ,,,,,,,,,,,,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,00,05,,,,,,,,,--,Network Module Only,,,-- Network Module Only ,,,,,,,,,,,,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,00,06,,,,,,,,,--,Network Module Only,,,-- Network Module Only ,,,,,,,,,,,,,,SL3-MEH-ACP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,SL3-MEH-ACP1,01,,,,1756-A17/C,,,,,,Rack 17 slots,,,,,,,,,,,,,,,,,,,,,,
A,SL3-MEH-ACP1,01,,,,1756-PA75,,120V,,,,,,,,Contrologix Power Supply 120V,,,,,,,,,,,,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,00,00,I_0100-00,1756-IRT8I,RTD,0-5000,SL3-BC-M1-TE1,SL3-BC-M1-TE1,,Shiploader 3,Boom Conveyor Motor 1 Phase A,Winding Temperature,RTD 1,Shiploader 3 Boom Conveyor Motor 1 Phase A Winding Temperature RTD 1 ,,,,,,,,,,,RTD_0100.00,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,00,01,I_0100-01,1756-IRT8I,RTD,0-5000,SL3-BC-M1-TE2,SL3-BC-M1-TE2,,Shiploader 3,Boom Conveyor Motor 1 Phase A,Winding Temperature,RTD 2,Shiploader 3 Boom Conveyor Motor 1 Phase A Winding Temperature RTD 2 ,,,,,,,,,,,RTD_0100.01,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,00,02,I_0100-02,1756-IRT8I,RTD,0-5000,SL3-BC-M1-TE3,SL3-BC-M1-TE3,,Shiploader 3,Boom Conveyor Motor 1 Phase B,Winding Temperature,RTD 1,Shiploader 3 Boom Conveyor Motor 1 Phase B Winding Temperature RTD 1 ,,,,,,,,,,,RTD_0100.02,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,00,03,I_0100-03,1756-IRT8I,RTD,0-5000,SL3-BC-M1-TE4,SL3-BC-M1-TE4,,Shiploader 3,Boom Conveyor Motor 1 Phase B,Winding Temperature,RTD 2,Shiploader 3 Boom Conveyor Motor 1 Phase B Winding Temperature RTD 2 ,,,,,,,,,,,RTD_0100.03,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,00,04,I_0100-04,1756-IRT8I,RTD,0-5000,SL3-BC-M1-TE5,SL3-BC-M1-TE5,,Shiploader 3,Boom Conveyor Motor 1 Phase C,Winding Temperature,RTD 1,Shiploader 3 Boom Conveyor Motor 1 Phase C Winding Temperature RTD 1 ,,,,,,,,,,,RTD_0100.04,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,00,05,I_0100-05,1756-IRT8I,RTD,0-5000,SL3-BC-M1-TE6,SL3-BC-M1-TE6,,Shiploader 3,Boom Conveyor Motor 1 Phase C,Winding Temperature,RTD 2,Shiploader 3 Boom Conveyor Motor 1 Phase C Winding Temperature RTD 2 ,,,,,,,,,,,RTD_0100.05,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,00,06,I_0100-06,1756-IRT8I,RTD,0-5000,SL3-BC-M1-TE7,SL3-BC-M1-TE7,,Shiploader 3,Boom Conveyor Motor 1 Drive End,Bearing Temperature,RTD 1 ,Shiploader 3 Boom Conveyor Motor 1 Drive End Bearing Temperature RTD 1  ,,,,,,,,,,,RTD_0100.06,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,00,07,I_0100-07,1756-IRT8I,RTD,0-5000,SL3-BC-M1-TE8,SL3-BC-M1-TE8,,Shiploader 3,Boom Conveyor Motor 1 Non Drive End,Bearing Temperature,RTD 1,Shiploader 3 Boom Conveyor Motor 1 Non Drive End Bearing Temperature RTD 1 ,,,,,,,,,,,RTD_0100.07,,,SL3-MEH-ACP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,SL3-MEH-ACP1,01,01,00,I_0101-00,1756-IF8I,AI,4-20mA,SL3-BC-HPU1-ZT1,SL3-BC-HPU1-ZT1,,Shiploader 3,Boom Conveyor Take-Up,Left Cylinder,Temposonic,Shiploader 3 Boom Conveyor Take-Up Left Cylinder Temposonic ,,,,,,,,,,,AI_0101_CH[00],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,01,01,I_0101-01,1756-IF8I,AI,4-20mA,SL3-BC-HPU1-ZT2,SL3-BC-HPU1-ZT2,,Shiploader 3,Boom Conveyor Take-Up,Right Cylinder,Temposonic,Shiploader 3 Boom Conveyor Take-Up Right Cylinder Temposonic ,,,,,,,,,,,AI_0101_CH[01],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,01,02,I_0101-02,1756-IF8I,AI,4-20mA,,SPARE,,, ,,,  ,,,,,,,,,,,AI_0101_CH[02],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,01,03,I_0101-03,1756-IF8I,AI,4-20mA,,SPARE,,, ,,,  ,,,,,,,,,,,AI_0101_CH[03],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,01,04,I_0101-04,1756-IF8I,AI,4-20mA,,SPARE,,, ,,,  ,,,,,,,,,,,AI_0101_CH[04],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,01,05,I_0101-05,1756-IF8I,AI,4-20mA,,SPARE,,, ,,,  ,,,,,,,,,,,AI_0101_CH[05],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,01,06,I_0101-06,1756-IF8I,AI,4-20mA,,SPARE,,, ,,,  ,,,,,,,,,,,AI_0101_CH[06],,,SL3-MEH-ACP1,,,,
