Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,Customer Spec,,,,,,
,,,No.,Type,Manufacturer,Model,Supply Voltage,Interface,Rated Voltage,Feedback,Power
,,,1,Absolute Encoder,Baumer,G0AMH,10-30 VDC,Ethernet/IP,,,
,,,2,Rotary Encoder,Sensata,HS35,5-28 VDC,LD/TTL,,,
,,,3,Plugged Chute Switch,Thermo Ramsey,Mercury-Free Tilt Sensors,,,,,
,,,4,Proximity Switch,Rockwell Automation,871TM,24 VDC,,,,
,,,5,High Accuracy Belt Scale,TD micronic,HzLd/Prt/XL713n,,Ethernet/IP,,,
,,,6,Belt Scale,TD micronic,HzLd/Prt/XL713n,,Ethernet/IP,,,
,,,7,Belt Alignment,Eaton,AFA & AFAX,,,600 VAC,,
,,,8,Pull Cords,Eaton,AFU & AFUX series,,,600 VAC,,
,,,9,Zero Speed Sensor,ifm,DI602A,10-36 VDC,,,,
,,,10,Bearing Temperature Sensors,Electro Sensors,TT420-LT,8-30 VDC,,,,
,,,11,Inductive Limit Switch,Emerson,GO Switch Family,24 VDC,,,,
,,,12,Tilt Switch,Thermo Ramsey,Conveyor Protection Switch Family,,,,,
,,,13,Photoelectric Sensor,ifm,O1D100,10-36 VDC,,,,
,,,14,Float Switch,Flygt,ENM-10,,,,,
,,,15,Ultrasonic Level Sensor,Siemens,LU240 series,,,,4-20/HART,
,,,16,Differential Pressure Transmitter,Siemens,SITRANS P250,,,,4-20/HART,
,,,17,PTZ Camera,AXIS,Q6074-E,,Ethernet/IP,,,PoE
,,,18,Industrial Beacon,Federal Signal,G-STR Global Series,,,120 VAC,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,Customer Spec,,,,,,
,,,101,Terminal Block,Weidmuller,W-Series,,,,,
,,,102,Fused Terminal Blocks,Weidmuller,W-Series,,,,,
,,,103,Fuses,Bussmann,,,,,,
,,,104,Circuit Breakers,Allen-Bradley,140G Series,,,,,
,,,105,Power Supplies,Allen-Bradley,1606 series,,,,,
,,,106,Wire Duct,Panduit,,,,,,
,,,107,Relays,Allen-Bradley/Weidmuller,,,,,,
,,,108,Push Buttons,Allen Bradley,800H Operators series,,,,,
,,,109,Emergency Stop Button,Allen Bradley,800H Operators series,,,,,
,,,110,Selector Switches,Allen Bradley,800H Operators series,,,,,
,,,111,Indicator Lights,Allen Bradley,800H Operators series,,,,,
