PLC LOOK UP TABLES,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLC PANELS,,,,CARD,TYPE,SIGNAL,I/O,PREFIX,SUFFIX,,,,,,,,,,,,,,,,,,,,,,,,,,MMM,Machine Full Name,,SSS,System Full Name,,EEE,Equipment Full Name,,DDD,QCA Device Full Name,WESTSHORE Full Name,,,,,EEE Equipment Abbreviations,Equipment Name,,DDD Device Abbreviations,Device Name + Description
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D31 ,Dumper 31 ,,C,Conveyor ,,HPU,Hydraulic Power Unit ,,BK,Brake ,Brake ,6.0,RAILCAR WASH,,,CP,Control Panel (General or Auxiliary Panel),,M,Motor/Actuator
Flex IO,,,,1794-PS3,PS,120V,,PS3-,,,,,,,,,,,,,,,,,,,,,,,,,,,D32 ,Dumper 32 ,,BC,Boom Conveyor ,,LU,Lubrication Unit ,,C,Contactor ,Contactor ,10.0,REL,Relay,,PLC,Automation Control Panel (Holds PLC Processor),,GB,Gear Box
,,,,1794-AENT,AENT,24VDC,,AENT-,,,,,,,,,,,,,,,,,,,,,,,,,,,TT1 ,Transfer Tower 1 ,,BR,Bridge,,CR ,Cable Reel ,,DBR,Dynamic Braking Resistor ,Dynamic Braking Resistor ,25.0,DDD, Device,,RCP,RIO Control Panel (Holds PLC IO Only),,BK,Brake
,,,,1794-AENTR,AENTR,,,AENTR-,,,,,,,,,,,,,,,,,,,,,,,,,,,TT2 ,Transfer Tower 2 ,,YC,Yard Conveyor ,,HR ,Hose Reel ,,ES,E-Stop PB ,E-Stop PB ,10.0,CJB,Control Junction Box,,PLCPROG,Programming Station,,HE,Heater
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT3 ,Transfer Tower 3 ,,EC,Elevator Conveyor ,,RC,Rail Clamp ,,FCB,Feeder Circuit Breaker ,Feeder Circuit Breaker ,23.0,PLCPROG,Plc Programming Station,,,,,,
1492-IFM20F-F120-2,,,,1794-IA16,DI,120V,16,I_,-,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,,,,,,,,,,TT4 ,Transfer Tower 4 ,,BW,Bucket Wheel ,,BT ,Belt Tension ,,FE,Flow Element ,Flow Element ,13.0,LUB,Lubrication,,FTVIEW,Human Machine Interface,,ES,E-Stop PB
1492-IFM20F-F24A-2,,,,1794-IB16,DI,24VDC,16,I_,-,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,,,,,,,,,,TT5 ,Transfer Tower 5 ,,CH,Chute ,,G,Gate ,,FSH,Flow Switch High Warning ,Flow Switch High Warning ,25.0,OVERPASS,,,FLEX,Local Control Panel (Contains Local Operators + PLC IO),,PC,Pull Cord
700HL Series Relay,,,,1794-OA16,DO,120V,16,O_,-,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,,,,,,,,,,TT6 ,Transfer Tower 6 ,,LT,Long Travel ,,CP ,Control Panel (General or Auxiliary Panel) ,,FSHH,Flow Switch High Trip ,Flow Switch High Trip ,22.0,PB,Jog/Stop/Start Push Button,,LCS,Local Control Station (Contains Local Operators only),,PB,Push Button
,,,,1794-IE4XOE2/B,AI/AO,4-20mA,4,I_,-,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,TT7 ,Transfer Tower 7 ,,SLW,Slew ,,ACP ,Automation Control Panel (Holds PLC Processor) ,,FSL,Flow Switch Low Warning (Torque Switch) ,Flow Switch Low Warning (Torque Switch) ,40.0,MVMCC,Medium Voltage MCC,,CJB,Control Junction Box,,PL,Pilot Light
1794-TB3,,,,1794-IE8,AI,4-20mA,8,I_,-,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,C3A ,Conveyor 3A ,,TR,Tripper ,,RCP ,RIO Control Panel (Holds PLC IO Only) ,,FSLL,Flow Switch Low Trip ,Flow Switch Low Trip ,21.0,NCP,Network Control Panel,,SJB,Signal Junction Box,,SEL,Selector Switch
1794-TB3,,,,1794-IF4I,AI,4-20mA,4,I_,-,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,C3B ,Conveyor 3B ,,LUFF,Luff ,,NCP,Network Panel ,,FT,Flow Transmitter ,Flow Transmitter (Field device with 4-20mA output) ,17.0,MCC,Low Voltage MCC,,HTP,Heat Trace Control Panel,,,
1794-TB3,,,,1794-IR8,AI,0-5000,8,I_,-,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,C3C ,Conveyor 3C ,,BH,Boom Hoist ,,LCP ,"Local Control Panel (Contains Local Operators, LCS) ",,FT,Flow Transmitter with Local Indicator ,Flow Transmitter with Local Indicator ,38.0,MTR,Motor,,,,,,
,,,,1444-DYN04-01RA,AI,4-20mA,4,I_,-,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,C4B ,Conveyor 4B ,,SH,Shuttle ,,JB ,Junction Box ,,GB,Gear Box ,Gear Box ,9.0,BK,Mechanical Brake,,,,,,
